mu,rho,h,cash,lower,upper,gap,beta,floor,moment_residual
0.05,0.01,0.2,0.2,0.005606381910052403,0.0056163315850771885,9.949675024785616e-06,0.00555624777254759,0.0007875319561206073,4.587441537751147e-13
0.05,0.01,0.2,0.3,0.002969859211825931,0.0029703428500919967,4.836382660657751e-07,0.0029672994118583635,0.00047410091329605497,8.72635297355373e-14
0.05,0.01,0.1,0.1,0.011469492058226831,0.011517325074870277,4.78330166434459e-05,0.011233674632342691,0.002271780286589288,4.587441537751147e-13
0.05,0.01,0.1,0.2,0.002026425722260066,0.002063617838987233,3.719211672716712e-05,0.001880904764937333,0.0007875319561206073,1.1435297153639112e-14
0.05,0.01,0.1,0.3,0.0005842431580630043,0.0006560408066936495,7.179764863064514e-05,0.0002454102382399299,0.00047410091329605497,1.5543122344752192e-15
0.05,0.01,0.05,0.1,0.006396997422232805,0.006419297530164851,2.2300107932046384e-05,0.006352931821130748,0.002271780286589288,4.336808689942018e-19
0.05,0.01,0.05,0.2,0.0009350072932624528,0.0010494558973632136,0.0001144486041007608,0.0004311256196877292,0.0007875319561206073,1.8407497748285095e-13
0.05,0.01,0.05,0.3,0.00047655853985601197,0.0005671144262140472,9.055588635803523e-05,1.824164506031591e-05,0.00047410091329605497,7.771561172376096e-16
0.05,0.01,0.02,0.1,0.0031055103308457875,0.003270452393451008,0.00016494206260522044,0.002674854705570385,0.002271780286589288,1.9984014443252818e-15
0.05,0.01,0.02,0.2,0.0007887335502179435,0.0009383315378011315,0.00014959798758318798,3.6150286944916664e-05,0.0007875319561206073,3.552713678800501e-15
0.05,0.01,0.02,0.3,0.000474082868743583,0.0005654924237840572,9.140955504047423e-05,1.9666951661015358e-07,0.00047410091329605497,2.220446049250313e-16
0.05,0.05,1.0,0.1,0.04500000000000097,0.04500000000100011,9.991382721175057e-13,0.04500000000000001,0.009910600109422352,5.306866057708248e-14
0.05,0.05,1.0,0.2,0.04,0.04000000000100011,1.0001097172640527e-12,0.04000000000000001,0.003859051477937525,0.0
0.05,0.05,1.0,0.3,0.03500000000000428,0.035000000000999995,9.957173974228795e-13,0.035,0.0023528562695002975,1.021405182655144e-13
0.05,0.05,0.5,0.1,0.04048750000000086,0.04048750000100277,1.0019068907851647e-12,0.04048750000000001,0.009910600109422352,5.306866057708248e-14
0.05,0.05,0.5,0.2,0.030975000000004516,0.030975000001001986,9.97469468133616e-13,0.030975000000000006,0.003859051477937525,1.2922996006636822e-13
0.05,0.05,0.5,0.3,0.021462500000000863,0.021462500001000886,1.0000229810902539e-12,0.021462500000000006,0.0023528562695002975,4.796163466380676e-14
0.05,0.05,0.2,0.1,0.029422407140438724,0.029429809505869223,7.402365430498464e-06,0.029249010619441698,0.009910600109422352,1.5341894421538882e-14
0.05,0.05,0.2,0.2,0.00884481428086209,0.008859619010738437,1.4804729876347067e-05,0.008498021238883394,0.003859051477937525,1.5341894421538882e-14
0.05,0.05,0.2,0.3,0.004852732203517117,0.0048539110688202766,1.1788653031599705e-06,0.0048188141913114045,0.0023528562695002975,1.5341894421538882e-14
0.05,0.05,0.1,0.1,0.01710184217480229,0.017163307815693283,6.146564089099318e-05,0.015753093934066383,0.009910600109422352,1.5341894421538882e-14
0.05,0.05,0.1,0.2,0.005036769581661867,0.005079870476425379,4.3100894763512324e-05,0.004598771689708754,0.003859051477937525,1.3322676295501878e-15
0.05,0.05,0.1,0.3,0.002466399696683587,0.002535390555368542,6.899085868495528e-05,0.001223237277763001,0.0023528562695002975,2.220446049250313e-16
0.05,0.05,0.05,0.1,0.012664947259205615,0.01273626331498751,7.131605578189482e-05,0.011823162777748836,0.009910600109422352,5.773159728050814e-15
0.05,0.05,0.05,0.2,0.00401171959427766,0.004122803541734787,0.00011108394745712718,0.0025043653860915686,0.003859051477937525,2.731148640577885e-14
0.05,0.05,0.05,0.3,0.0023573544684039375,0.002442724398205265,8.536992980132758e-05,0.0004617674212720012,0.0023528562695002975,7.993605777301127e-15
0.05,0.05,0.02,0.1,0.010316223960475334,0.010522295733635233,0.00020607177315989933,0.008809223093748531,0.009910600109422352,6.661338147750939e-16
0.05,0.05,0.02,0.2,0.0038627770566655186,0.003999713257081891,0.00013693620041637213,0.0013303521552044495,0.003859051477937525,6.661338147750939e-16
0.05,0.05,0.02,0.3,0.0023526731780869597,0.0024390037736042322,8.633059551727256e-05,0.0001642104828326295,0.0023528562695002975,3.219646771412954e-15
0.05,0.2,1.0,0.1,0.045,0.04500000000100011,1.0001097172640527e-12,0.04500000000000001,0.029166666666666667,1.1102230246251565e-16
0.05,0.2,1.0,0.2,0.04000000000000001,0.04000000000100011,1.0001027783701488e-12,0.04000000000000001,0.014442719099991591,1.3877787807814457e-17
0.05,0.2,1.0,0.3,0.03500000000000001,0.035000000001,9.999917560676863e-13,0.035,0.00916407864998739,1.3877787807814457e-17
0.05,0.2,0.5,0.1,0.04120000000000001,0.04120000000100034,1.0003317618689778e-12,0.04120000000000001,0.029166666666666667,1.734723475976807e-18
0.05,0.2,0.5,0.2,0.032400000000000005,0.03240000000100044,1.0004358452775364e-12,0.032400000000000005,0.014442719099991591,1.3877787807814457e-17
0.05,0.2,0.5,0.3,0.0236,0.02360000000100002,1.000019511643302e-12,0.023600000000000003,0.00916407864998739,6.938893903907228e-18
0.05,0.2,0.2,0.1,0.034449011200000004,0.03446105689386113,1.204569386112353e-05,0.033500114285714304,0.029166666666666667,1.734723475976807e-18
